at,elapsed_s,event,version,uptime_ms,blit_timeouts,tx_sent,tx_timeouts,tx_drops,rx_malformed,loop_gap_max_ms,loop_gap_max_mark,scan_rate,count_ge_10ms,count_ge_25ms,count_ge_25ms_nonflash,passes,flash_writes,flash_gap_max_ms,blit_gap_max_ms,i2c_gap_max_ms,key_presses,row_gap_max_ms,isr_per_s,isr_cpu_pct,isr_max_us,wdt_consecutive_resets,wdt_fired_last_boot,wr_valid,wr_site,wr_parent,wr_last_pass_uptime_ms,wr_boot_rstst,wr_pc,wr_context,v_uptime_ms,v_build_token,v_msp_free,v_psp_free,v_blits_issued,v_blit_never_started,v_blit_stalled,v_blit_irq_lost,v_blit_unknown,v_blit_busy_waits,v_blit_retry_successes
2026-09-23 13:15:41,875,,7,900769,2,179,96,0,0,38,blit,195,8154,6,6,174905,857,16,38,0,24,9,3899.0,72.5,320.0,0,False,False,none,none,0,1,,,898739,0x0a8a1d5b,616,1264,47562,2,0,0,0,0,2
2026-09-23 13:16:11,905,,7,930737,2,185,99,0,0,38,blit,218,8410,6,6,181160,859,16,38,0,24,9,3905.4,72.6,320.0,0,False,False,none,none,0,1,,,928714,0x0a8a1d5b,616,1264,49097,2,0,0,0,0,2
2026-09-23 13:16:41,935,,7,960764,2,191,102,0,0,38,blit,183,8690,7,7,187310,861,16,38,0,24,9,3900.1,72.5,320.0,0,False,False,none,none,0,1,,,958718,0x0a8a1d5b,616,1264,50766,2,0,0,0,0,2
2026-09-23 13:17:11,965,,7,990740,2,197,106,0,0,38,blit,183,8992,7,7,192775,863,16,38,0,24,9,3901.2,72.5,320.0,0,False,False,none,none,0,1,,,988708,0x0a8a1d5b,616,1264,52420,2,0,0,0,0,2
2026-09-23 13:17:41,995,,7,1020733,2,203,110,0,0,45,flash,221,9280,8,7,198533,865,45,38,0,24,11,3902.9,72.6,320.0,0,False,False,none,none,0,1,,,1018703,0x0a8a1d5b,616,1264,54070,2,0,0,0,0,2
2026-09-23 13:18:11,1025,,7,1050737,2,209,115,0,0,45,flash,171,9551,9,8,204348,867,45,38,0,24,11,3908.6,72.6,320.0,0,False,False,none,none,0,1,,,1048703,0x0a8a1d5b,616,1264,55743,2,0,0,0,0,2
2026-09-23 13:18:41,1055,,7,1080729,2,215,118,0,0,45,flash,196,9830,10,9,210040,869,45,38,0,24,11,3901.1,72.5,320.0,0,False,False,none,none,0,1,,,1078686,0x0a8a1d5b,616,1264,57295,2,0,0,0,0,2
2026-09-23 13:19:11,1085,,7,1110678,2,221,122,0,0,45,flash,219,10105,10,9,216202,871,45,38,0,24,11,3906.5,72.7,320.0,0,False,False,none,none,0,1,,,1108653,0x0a8a1d5b,616,1264,58994,2,0,0,0,0,2
2026-09-23 13:19:41,1115,,7,1140699,2,227,125,0,0,45,flash,180,10380,11,10,222299,873,45,38,0,24,11,3899.1,72.5,320.0,0,False,False,none,none,0,1,,,1138666,0x0a8a1d5b,616,1264,60626,2,0,0,0,0,2
2026-09-23 13:20:11,1145,,7,1170680,2,233,129,0,0,45,flash,168,10671,11,10,227700,875,45,38,0,24,11,3899.4,72.6,320.0,0,False,False,none,none,0,1,,,1168644,0x0a8a1d5b,616,1264,62311,2,0,0,0,0,2
2026-09-23 13:20:41,1175,,7,1200651,2,239,132,0,0,45,flash,224,10956,12,11,233431,877,45,38,0,24,11,3904.4,72.6,320.0,0,False,False,none,none,0,1,,,1198624,0x0a8a1d5b,616,1264,63957,2,0,0,0,0,2
2026-09-23 13:21:11,1205,,7,1230653,2,245,136,0,0,45,flash,165,11229,13,12,239275,879,45,38,0,24,11,3909.3,72.6,320.0,0,False,False,none,none,0,1,,,1228617,0x0a8a1d5b,616,1264,65605,2,0,0,0,0,2
2026-09-23 13:21:41,1235,,7,1260638,2,251,140,0,0,45,flash,199,11529,13,12,244871,881,45,38,0,24,11,3900.9,72.6,320.0,0,False,False,none,none,0,1,,,1258605,0x0a8a1d5b,616,1264,67162,2,0,0,0,0,2
2026-09-23 13:22:11,1265,,7,1290624,2,257,145,0,0,45,flash,208,11820,13,12,250970,883,45,38,0,24,11,3906.6,72.6,320.0,0,False,False,none,none,0,1,,,1288583,0x0a8a1d5b,616,1264,68781,2,0,0,0,0,2
2026-09-23 13:22:41,1295,,7,1320613,2,263,148,0,0,45,flash,176,12126,13,12,256982,885,45,38,0,24,11,3901.1,72.6,320.0,0,False,False,none,none,0,1,,,1318579,0x0a8a1d5b,616,1264,70323,2,0,0,0,0,2
2026-09-23 13:23:11,1325,,7,1350626,2,269,151,0,0,45,flash,186,12438,13,12,262408,887,45,38,0,24,11,3900.3,72.5,320.0,0,False,False,none,none,0,1,,,1348576,0x0a8a1d5b,616,1264,71995,2,0,0,0,0,2
2026-09-23 13:23:41,1355,,7,1380610,2,275,154,0,0,45,flash,224,12738,14,13,268105,889,45,38,0,24,11,3904.3,72.6,320.0,0,False,False,none,none,0,1,,,1378576,0x0a8a1d5b,616,1264,73624,2,0,0,0,0,2
2026-09-23 13:24:11,1385,,7,1410592,2,281,157,0,0,45,flash,177,13022,15,14,273918,891,45,38,0,24,11,3909.9,72.6,320.0,0,False,False,none,none,0,1,,,1408570,0x0a8a1d5b,616,1264,75311,2,0,0,0,0,2
2026-09-23 13:24:41,1415,,7,1440595,2,287,161,0,0,45,flash,188,13336,16,15,279470,893,45,38,0,24,11,3898.7,72.5,320.0,0,False,False,none,none,0,1,,,1438565,0x0a8a1d5b,616,1264,76856,2,0,0,0,0,2
2026-09-23 13:25:11,1445,,7,1470579,3,293,165,0,0,45,flash,205,13618,17,16,285552,895,45,43,0,24,11,3907.0,72.6,320.0,0,False,False,none,none,0,1,,,1468546,0x0a8a1d5b,616,1112,78578,3,0,0,0,1,3
2026-09-23 13:25:41,1475,,7,1500557,3,299,168,0,0,45,flash,187,13902,17,16,291688,897,45,43,0,24,11,3898.5,72.5,320.0,0,False,False,none,none,0,1,,,1498531,0x0a8a1d5b,616,1112,80099,3,0,0,0,1,3
2026-09-23 13:26:11,1505,,7,1530555,3,305,175,0,0,45,flash,176,14210,17,16,297089,899,45,43,0,24,11,3902.6,72.6,320.0,0,False,False,none,none,0,1,,,1528523,0x0a8a1d5b,616,1112,81810,3,0,0,0,1,3
2026-09-23 13:26:41,1535,,7,1560538,3,311,178,0,0,45,flash,216,14513,17,16,302811,901,45,43,0,24,11,3903.9,72.6,320.0,0,False,False,none,none,0,1,,,1558510,0x0a8a1d5b,616,1112,83390,3,0,0,0,1,3
2026-09-23 13:27:11,1565,,7,1590534,3,317,182,0,0,45,flash,172,14797,18,17,308658,903,45,43,0,24,11,3910.7,72.6,320.0,0,False,False,none,none,0,1,,,1588499,0x0a8a1d5b,616,1112,85078,3,0,0,0,1,3
2026-09-23 13:27:41,1595,,7,1620514,3,323,185,0,0,45,flash,182,15093,18,17,314342,905,45,43,0,24,11,3899.8,72.5,320.0,0,False,False,none,none,0,1,,,1618474,0x0a8a1d5b,616,1112,86685,3,0,0,0,1,3
2026-09-23 13:28:11,1625,,7,1650491,3,329,188,0,0,45,flash,218,15357,18,17,320552,907,45,43,0,24,11,3906.8,72.6,320.0,0,False,False,none,none,0,1,,,1648459,0x0a8a1d5b,616,1112,88344,3,0,0,0,1,3
2026-09-23 13:28:41,1655,,7,1680485,3,335,191,0,0,45,flash,184,15641,19,18,326705,909,45,43,0,24,11,3901.1,72.5,320.0,0,False,False,none,none,0,1,,,1678451,0x0a8a1d5b,616,1112,89911,3,0,0,0,1,3
2026-09-23 13:29:11,1685,,7,1710483,3,341,194,0,0,45,flash,182,15945,19,18,332136,911,45,43,0,24,11,3899.4,72.5,320.0,0,False,False,none,none,0,1,,,1708450,0x0a8a1d5b,616,1112,91571,3,0,0,0,1,3
2026-09-23 13:29:41,1715,,7,1740462,3,347,198,0,0,45,flash,230,16235,19,18,337917,913,45,43,0,24,11,3903.6,72.6,320.0,0,False,False,none,none,0,1,,,1738432,0x0a8a1d5b,616,1112,93212,3,0,0,0,1,3
2026-09-23 13:30:11,1745,,7,1770444,3,353,201,0,0,45,flash,176,16499,19,18,343786,915,45,43,0,24,11,3908.8,72.6,320.0,0,False,False,none,none,0,1,,,1768416,0x0a8a1d5b,616,1112,94874,3,0,0,0,1,3
2026-09-23 13:30:41,1775,,7,1800448,3,359,206,0,0,45,flash,187,16800,19,18,349367,917,45,43,0,24,11,3900.6,72.5,320.0,0,False,False,none,none,0,1,,,1798410,0x0a8a1d5b,616,1112,96554,3,0,0,0,1,3
2026-09-23 13:31:11,1805,,7,1830518,3,365,210,0,0,45,flash,212,17085,19,18,355455,919,45,43,0,24,11,3907.7,72.7,320.0,0,False,False,none,none,0,1,,,1828445,0x0a8a1d5b,616,1112,98312,3,0,0,0,1,3
2026-09-23 13:31:41,1835,,7,1860421,3,371,213,0,0,45,flash,180,17355,19,18,361587,921,45,43,0,24,11,3900.5,72.5,320.0,0,False,False,none,none,0,1,,,1858387,0x0a8a1d5b,616,1112,99843,3,0,0,0,1,3
2026-09-23 13:32:11,1865,,7,1890397,3,377,216,0,0,45,flash,182,17652,19,18,367064,923,45,43,0,24,11,3902.4,72.6,320.0,0,False,False,none,none,0,1,,,1888370,0x0a8a1d5b,616,1112,101398,3,0,0,0,1,3
2026-09-23 13:32:41,1895,,7,1920389,3,383,219,0,0,45,flash,210,17937,19,18,372795,925,45,43,0,24,11,3903.7,72.6,320.0,0,False,False,none,none,0,1,,,1918366,0x0a8a1d5b,616,1112,103069,3,0,0,0,1,3
2026-09-23 13:33:11,1925,,7,1950371,3,389,222,0,0,45,flash,173,18206,19,18,378631,927,45,43,0,24,11,3911.3,72.6,320.0,0,False,False,none,none,0,1,,,1948341,0x0a8a1d5b,616,1112,104732,3,0,0,0,1,3
2026-09-23 13:33:41,1955,,7,1980387,3,395,226,0,0,45,flash,195,18511,19,18,384254,929,45,43,0,24,11,3900.4,72.5,320.0,0,False,False,none,none,0,1,,,1978362,0x0a8a1d5b,616,1112,106236,3,0,0,0,1,3
2026-09-23 13:34:11,1985,,7,2010360,3,401,230,0,0,45,flash,207,18791,19,18,390373,931,45,43,0,24,11,3907.5,72.6,320.0,0,False,False,none,none,0,1,,,2008328,0x0a8a1d5b,616,1112,107911,3,0,0,0,1,3
2026-09-23 13:34:41,2015,,7,2040336,3,407,233,0,0,45,flash,180,19081,19,18,396414,933,45,43,0,24,11,3900.8,72.5,320.0,0,False,False,none,none,0,1,,,2038309,0x0a8a1d5b,616,1112,109468,3,0,0,0,1,3
2026-09-23 13:35:11,2045,,7,2070339,3,413,236,0,0,45,flash,179,19400,19,18,401781,935,45,43,0,24,11,3900.4,72.5,320.0,0,False,False,none,none,0,1,,,2068312,0x0a8a1d5b,616,1112,111137,3,0,0,0,1,3
2026-09-23 13:35:41,2075,,7,2100319,3,419,239,0,0,45,flash,232,19713,19,18,407419,937,45,43,0,24,11,3904.3,72.6,320.0,0,False,False,none,none,0,1,,,2098287,0x0a8a1d5b,616,1112,112654,3,0,0,0,1,3
2026-09-23 13:36:11,2105,,7,2130314,3,425,242,0,0,45,flash,173,19976,20,19,413284,939,45,43,0,24,11,3908.6,72.6,320.0,0,False,False,none,none,0,1,,,2128277,0x0a8a1d5b,616,1112,114397,3,0,0,0,1,3
2026-09-23 13:36:41,2135,,7,2160301,3,431,245,0,0,45,flash,194,20288,20,19,418866,941,45,43,0,24,11,3900.9,72.6,320.0,0,False,False,none,none,0,1,,,2158264,0x0a8a1d5b,616,1112,116044,3,0,0,0,1,3
2026-09-23 13:37:11,2165,,7,2190289,3,437,248,0,0,45,flash,214,20569,20,19,424958,943,45,43,0,24,11,3905.9,72.6,320.0,0,False,False,none,none,0,1,,,2188264,0x0a8a1d5b,616,1112,117803,3,0,0,0,1,3
2026-09-23 13:37:41,2195,,7,2220281,3,443,252,0,0,45,flash,178,20862,21,20,430974,945,45,43,0,24,11,3903.2,72.6,320.0,0,False,False,none,none,0,1,,,2218240,0x0a8a1d5b,616,1112,119426,3,0,0,0,1,3
2026-09-23 13:38:11,2225,,7,2250244,3,449,255,0,0,45,flash,170,21172,21,20,436347,947,45,43,0,24,11,3900.3,72.5,320.0,0,False,False,none,none,0,1,,,2248220,0x0a8a1d5b,616,1112,121133,3,0,0,0,1,3
2026-09-23 13:38:41,2255,,7,2280239,3,455,259,0,0,45,flash,208,21476,22,20,442050,949,45,43,0,24,11,3903.9,72.6,320.0,0,False,False,none,none,0,1,,,2278209,0x0a8a1d5b,616,1112,122650,3,0,0,0,1,3
2026-09-23 13:39:11,2285,,7,2310228,3,461,262,0,0,45,flash,169,21758,22,20,447841,951,45,43,0,24,11,3907.5,72.6,320.0,0,False,False,none,none,0,1,,,2308201,0x0a8a1d5b,616,1112,124306,3,0,0,0,1,3
2026-09-23 13:39:41,2315,,7,2340220,3,467,265,0,0,45,flash,191,22066,22,20,453400,953,45,43,0,24,11,3901.5,72.6,320.0,0,False,False,none,none,0,1,,,2338188,0x0a8a1d5b,616,1112,125811,3,0,0,0,1,3
2026-09-23 13:40:11,2345,,7,2370208,3,473,268,0,0,45,flash,213,22374,22,20,459443,955,45,43,0,24,11,3906.4,72.6,320.0,0,False,False,none,none,0,1,,,2368177,0x0a8a1d5b,616,1112,127451,3,0,0,0,1,3
2026-09-23 13:40:41,2375,,7,2400187,3,479,272,0,0,45,flash,186,22659,23,21,465513,957,45,43,0,24,11,3902.5,72.6,320.0,0,False,False,none,none,0,1,,,2398159,0x0a8a1d5b,616,1112,128999,3,0,0,0,1,3
2026-09-23 13:41:11,2405,,7,2430193,3,485,277,0,0,45,flash,184,22965,23,21,470864,959,45,43,0,24,11,3899.9,72.5,320.0,0,False,False,none,none,0,1,,,2428156,0x0a8a1d5b,616,1112,130670,3,0,0,0,1,3
2026-09-23 13:41:41,2435,,7,2460164,3,491,280,0,0,45,flash,217,23264,23,21,476589,961,45,43,0,24,11,3902.8,72.6,320.0,0,False,False,none,none,0,1,,,2458134,0x0a8a1d5b,616,1112,132095,3,0,0,0,1,3
2026-09-23 13:42:11,2465,,7,2490172,3,497,283,0,0,45,flash,170,23556,23,21,482342,963,45,43,0,24,11,3910.0,72.6,320.0,0,False,False,none,none,0,1,,,2488142,0x0a8a1d5b,616,1112,133753,3,0,0,0,1,3
2026-09-23 13:42:41,2495,,7,2520167,3,503,286,0,0,45,flash,190,23880,23,21,487868,965,45,43,0,24,11,3901.1,72.6,320.0,0,False,False,none,none,0,1,,,2518134,0x0a8a1d5b,616,1112,135379,3,0,0,0,1,3
2026-09-23 13:43:11,2525,,7,2550152,4,509,289,0,0,45,flash,208,24181,24,22,493902,967,45,43,0,24,11,3908.2,72.7,320.0,0,False,False,none,none,0,1,,,2548122,0x0a8a1d5b,616,1112,136980,4,0,0,0,1,4
2026-09-23 13:43:41,2555,,7,2580139,4,515,292,0,0,45,flash,178,24491,24,22,499883,969,45,43,0,24,11,3900.8,72.5,320.0,0,False,False,none,none,0,1,,,2578111,0x0a8a1d5b,616,1112,138512,4,0,0,0,1,4
2026-09-23 13:44:11,2585,,7,2610130,4,521,296,0,0,45,flash,172,24807,24,22,505177,971,45,43,0,24,11,3900.0,72.5,320.0,0,False,False,none,none,0,1,,,2608101,0x0a8a1d5b,616,1112,140144,4,0,0,0,1,4
2026-09-23 13:44:41,2615,,7,2640108,4,527,299,0,0,45,flash,214,25112,24,22,510843,973,45,43,0,24,11,3905.8,72.6,320.0,0,False,False,none,none,0,1,,,2638081,0x0a8a1d5b,616,1112,141691,4,0,0,0,1,4
2026-09-23 13:45:11,2645,,7,2670090,4,533,303,0,0,45,flash,168,25390,24,22,516683,975,45,43,0,24,11,3909.8,72.6,320.0,0,False,False,none,none,0,1,,,2668068,0x0a8a1d5b,616,1112,143294,4,0,0,0,1,4
2026-09-23 13:45:41,2675,,7,2700099,4,539,306,0,0,45,flash,192,25700,24,22,522207,977,45,43,0,24,11,3900.6,72.5,320.0,0,False,False,none,none,0,1,,,2698066,0x0a8a1d5b,616,1112,144965,4,0,0,0,1,4
2026-09-23 13:46:11,2705,,7,2730080,4,545,310,0,0,45,flash,203,26004,24,22,528238,979,45,43,0,24,11,3907.3,72.6,320.0,0,False,False,none,none,0,1,,,2728054,0x0a8a1d5b,616,1112,146652,4,0,0,0,1,4
2026-09-23 13:46:41,2735,,7,2760069,4,551,313,0,0,45,flash,184,26304,24,22,534187,981,45,43,0,24,11,3901.9,72.5,320.0,0,False,False,none,none,0,1,,,2758038,0x0a8a1d5b,616,1112,148278,4,0,0,0,1,4
2026-09-23 13:47:11,2765,,7,2790066,4,557,316,0,0,45,flash,177,26615,24,22,539529,983,45,43,0,24,11,3901.9,72.6,320.0,0,False,False,none,none,0,1,,,2788029,0x0a8a1d5b,616,1112,149969,4,0,0,0,1,4
2026-09-23 13:47:41,2795,,7,2820047,4,563,319,0,0,45,flash,217,26929,24,22,545162,985,45,43,0,24,11,3904.4,72.5,320.0,0,False,False,none,none,0,1,,,2818019,0x0a8a1d5b,616,1112,151500,4,0,0,0,1,4
2026-09-23 13:48:11,2825,,7,2850048,4,569,322,0,0,45,flash,170,27222,24,22,550911,987,45,43,0,24,11,3909.5,72.6,320.0,0,False,False,none,none,0,1,,,2848010,0x0a8a1d5b,616,1112,153197,4,0,0,0,1,4
2026-09-23 13:48:41,2855,,7,2880017,4,575,326,0,0,45,flash,189,27551,24,22,556367,989,45,43,0,24,11,3901.5,72.5,320.0,0,False,False,none,none,0,1,,,2877989,0x0a8a1d5b,616,1112,154755,4,0,0,0,1,4
2026-09-23 13:49:11,2885,,7,2910019,4,581,330,0,0,45,flash,205,27852,24,22,562442,991,45,43,0,24,11,3907.0,72.6,320.0,0,False,False,none,none,0,1,,,2907990,0x0a8a1d5b,616,1112,156344,4,0,0,0,1,4
2026-09-23 13:49:41,2915,,7,2940009,4,587,333,0,0,45,flash,173,28154,24,22,568462,993,45,43,0,24,11,3901.4,72.5,320.0,0,False,False,none,none,0,1,,,2937976,0x0a8a1d5b,616,1112,157865,4,0,0,0,1,4
2026-09-23 13:50:11,2945,,7,2969988,5,593,336,0,0,45,flash,176,28469,25,23,573837,995,45,44,0,24,11,3901.1,72.5,320.0,0,False,False,none,none,0,1,,,2967961,0x0a8a1d5b,616,1112,159544,5,0,0,0,2,5
2026-09-23 13:50:41,2975,,7,2999990,5,599,340,0,0,45,flash,213,28766,25,23,579529,997,45,44,0,24,11,3905.0,72.6,320.0,0,False,False,none,none,0,1,,,2997959,0x0a8a1d5b,616,1112,161129,5,0,0,0,2,5
2026-09-23 13:51:11,3006,,7,3029985,5,605,343,0,0,45,flash,172,29046,25,23,585360,999,45,44,0,24,11,3909.5,72.6,320.0,0,False,False,none,none,0,1,,,3027949,0x0a8a1d5b,616,1112,162715,5,0,0,0,2,5
2026-09-23 13:51:41,3036,,7,3059969,5,611,347,0,0,45,flash,195,29356,25,23,590933,1001,45,44,0,24,11,3900.7,72.5,320.0,0,False,False,none,none,0,1,,,3057930,0x0a8a1d5b,616,1112,164284,5,0,0,0,2,5
2026-09-23 13:52:11,3066,,7,3089942,5,617,350,0,0,45,flash,210,29657,25,23,596990,1003,45,44,0,24,11,3905.9,72.6,320.0,0,False,False,none,none,0,1,,,3087918,0x0a8a1d5b,616,1112,165929,5,0,0,0,2,5
2026-09-23 13:52:41,3096,,7,3119925,5,623,353,0,0,45,flash,169,29948,25,23,602937,1005,45,44,0,24,11,3902.4,72.6,320.0,0,False,False,none,none,0,1,,,3117901,0x0a8a1d5b,616,1112,167645,5,0,0,0,2,5
2026-09-23 13:53:11,3126,,7,3149943,5,629,356,0,0,45,flash,185,30268,25,23,608250,1007,45,44,0,24,11,3898.8,72.5,320.0,0,False,False,none,none,0,1,,,3147906,0x0a8a1d5b,616,1112,169294,5,0,0,0,2,5
2026-09-23 13:53:41,3156,,7,3179909,5,635,359,0,0,45,flash,220,30555,25,23,614044,1009,45,44,0,24,11,3904.7,72.6,320.0,0,False,False,none,none,0,1,,,3177885,0x0a8a1d5b,616,1112,170955,5,0,0,0,2,5
